Zeit	Kanal A
(s)	(mV)

-9.99933535	23.69894000
-9.99933515	9.47342500
-9.99933495	23.69894000
-9.99933475	18.96223000
-9.99933455	14.22552000
-9.99933435	14.22552000
-9.99933415	14.22552000
-9.99933395	33.18774000
-9.99933375	18.96223000
-9.99933355	18.96223000
-9.99933335	18.96223000
-9.99933315	14.22552000
-9.99933295	23.69894000
-9.99933275	23.69894000
-9.99933255	18.96223000
-9.99933235	14.22552000
-9.99933215	14.22552000
-9.99933195	14.22552000
-9.99933175	9.47342500
-9.99933155	9.47342500
-9.99933135	14.22552000
-9.99933115	23.69894000
-9.99933095	9.47342500
-9.99933075	23.69894000
-9.99933055	9.47342500
-9.99933035	14.22552000
-9.99933015	14.22552000
-9.99932995	9.47342500
-9.99932975	14.22552000
-9.99932955	14.22552000
-9.99932935	14.22552000
-9.99932915	9.47342500
-9.99932895	14.22552000
-9.99932875	18.96223000
-9.99932855	9.47342500
-9.99932835	9.47342500
-9.99932815	14.22552000
-9.99932795	9.47342500
-9.99932775	4.73671200
-9.99932755	9.47342500
-9.99932735	4.73671200
-9.99932715	9.47342500
-9.99932695	9.47342500
-9.99932675	4.73671200
-9.99932655	14.22552000
-9.99932635	18.96223000
-9.99932615	9.47342500
-9.99932595	9.47342500
-9.99932575	4.73671200
-9.99932555	4.73671200
-9.99932535	9.47342500
-9.99932515	14.22552000
-9.99932495	14.22552000
-9.99932475	9.47342500
-9.99932455	4.73671200
-9.99932435	0.00000000
-9.99932415	9.47342500
-9.99932395	0.00000000
-9.99932375	9.47342500
-9.99932355	4.73671200
-9.99932335	4.73671200
-9.99932315	9.47342500
-9.99932295	4.73671200
-9.99932275	9.47342500
-9.99932255	0.00000000
-9.99932235	4.73671200
-9.99932215	9.47342500
-9.99932195	4.73671200
-9.99932175	9.47342500
-9.99932155	0.00000000
-9.99932135	0.00000000
-9.99932115	-9.47342500
-9.99932095	4.73671200
-9.99932075	-4.73671200
-9.99932055	0.00000000
-9.99932035	9.47342500
-9.99932015	9.47342500
-9.99931995	0.00000000
-9.99931975	4.73671200
-9.99931955	-4.73671200
-9.99931935	4.73671200
-9.99931915	-4.73671200
-9.99931895	-9.47342500
-9.99931875	0.00000000
-9.99931855	9.47342500
-9.99931835	0.00000000
-9.99931815	-4.73671200
-9.99931795	0.00000000
-9.99931775	-9.47342500
-9.99931755	0.00000000
-9.99931735	-4.73671200
-9.99931715	0.00000000
-9.99931695	-9.47342500
-9.99931675	4.73671200
-9.99931655	0.00000000
-9.99931635	-9.47342500
-9.99931615	-4.73671200
-9.99931595	-9.47342500
-9.99931575	4.73671200
-9.99931555	0.00000000
-9.99931535	-4.73671200
-9.99931515	4.73671200
-9.99931495	9.47342500
-9.99931475	-9.47342500
-9.99931455	0.00000000
-9.99931435	-4.73671200
-9.99931415	0.00000000
-9.99931395	0.00000000
-9.99931375	-9.47342500
-9.99931355	0.00000000
-9.99931335	-4.73671200
-9.99931315	9.47342500
-9.99931295	-4.73671200
-9.99931275	-9.47342500
-9.99931255	0.00000000
-9.99931235	-9.47342500
-9.99931215	-9.47342500
-9.99931195	-14.22552000
-9.99931175	-9.47342500
-9.99931155	-4.73671200
-9.99931135	-4.73671200
-9.99931115	-9.47342500
-9.99931095	-9.47342500
-9.99931075	-4.73671200
-9.99931055	-9.47342500
-9.99931035	-9.47342500
-9.99931015	-14.22552000
-9.99930995	-4.73671200
-9.99930975	-4.73671200
-9.99930955	0.00000000
-9.99930935	-14.22552000
-9.99930915	-9.47342500
-9.99930895	-14.22552000
-9.99930875	-9.47342500
-9.99930855	-9.47342500
-9.99930835	0.00000000
-9.99930815	-4.73671200
-9.99930795	-4.73671200
-9.99930775	-14.22552000
-9.99930755	-14.22552000
-9.99930735	0.00000000
-9.99930715	-9.47342500
-9.99930695	-14.22552000
-9.99930675	-9.47342500
-9.99930655	-18.96223000
